SKU,COST,CURRENCY,CREATED_DATE
00887753527059,401.22,USD,11/10/2023 9:20:10 PM
00887753527066,401.22,USD,11/10/2023 9:20:10 PM
00887753527073,401.22,USD,11/10/2023 9:20:11 PM
00887753527080,432.26,USD,11/10/2023 9:20:11 PM
00887753527097,432.26,USD,11/10/2023 9:20:11 PM
00887753527172,354.66,USD,11/10/2023 9:20:11 PM
00887753527202,377.94,USD,11/10/2023 9:20:11 PM
00887753527219,292.58,USD,11/10/2023 9:20:11 PM
00887753527240,440.02,USD,11/10/2023 9:20:10 PM
00887753527318,370.18,USD,11/10/2023 9:20:10 PM
00887753527325,796.98,USD,11/10/2023 9:20:10 PM
00887753527332,556.42,USD,11/10/2023 9:20:11 PM
00887753527387,308.1,USD,11/10/2023 9:20:12 PM
00887753527479,292.58,USD,11/10/2023 9:20:11 PM
00887753527608,292.58,USD,11/10/2023 9:20:10 PM
00887753527646,277.06,USD,11/10/2023 9:20:11 PM
00887753527653,277.06,USD,11/10/2023 9:20:10 PM
00887753527660,323.62,USD,11/10/2023 9:20:12 PM
00887753527714,401.22,USD,11/10/2023 9:20:11 PM
00887753527851,331.38,USD,11/10/2023 9:20:11 PM
00887753527912,494.34,USD,11/10/2023 9:20:11 PM
00887753527929,494.34,USD,11/10/2023 9:20:11 PM
00887753527943,377.94,USD,11/10/2023 9:20:12 PM
00887753527950,277.06,USD,11/10/2023 9:20:11 PM
00887753527967,424.5,USD,11/10/2023 9:20:10 PM
00887753527981,455.54,USD,11/10/2023 9:20:11 PM
00887753528018,269.3,USD,11/10/2023 9:20:11 PM
00887753528025,377.94,USD,11/10/2023 9:20:11 PM
00887753528032,284.82,USD,11/10/2023 9:20:12 PM
00887753528070,323.62,USD,11/10/2023 9:20:11 PM
00887753528117,207.22,USD,11/10/2023 9:20:12 PM
00887753528513,136.95,USD,11/10/2023 9:20:12 PM
00887753528520,136.95,USD,11/10/2023 9:20:11 PM
00887753528544,136.95,USD,11/10/2023 9:20:10 PM
00887753528551,136.95,USD,11/10/2023 9:20:11 PM
